# Airport database: IATA|ICAO|LAT|LON|CITY|NAME
# Source: OurAirports (public domain), scheduled-service
# large+medium airports. Add your own as extra lines.
AKN|PAKN|58.6778|-156.652|King Salmon|King Salmon Airport
AKP|PAKP|68.1336|-151.743|Anaktuvuk Pass|Anaktuvuk Pass Airport
AKR|DNAK|7.2467|5.301|Akure|Akure Airport
AKU|ZWAK|41.2625|80.2917|Aksu (Onsu)|Aksu Hongqipo Airport
AKX|UATT|50.2481|57.2041|Aktobe|Aktobe International Airport
AKY|VYSW|20.1332|92.8707|Sittwe|Sittwe Airport
ALA|UAAA|43.3543|77.0428|Almaty|Almaty International Airport
ALB|KALB|42.7483|-73.8017|Albany|Albany International Airport
ALC|LEAL|38.2822|-0.5582|Alicante|Alicante-Elche Miguel Hernandez Airport
ALF|ENAT|69.9761|23.3717|Alta|Alta Airport
ALG|DAAG|36.6939|3.2145|Algiers|Houari Boumediene Airport
ALH|YABA|-34.9433|117.8089|Albany|Albany Airport
ALO|KALO|42.5571|-92.4003|Waterloo|Waterloo Regional Airport
ALP|OSAP|36.1813|37.2269|Aleppo|Aleppo International Airport
ALS|KALS|37.4349|-105.867|Alamosa|San Luis Valley Regional Airport/Bergman Field
ALW|KALW|46.0949|-118.288|Walla Walla|Walla Walla Regional Airport
AMA|KAMA|35.2179|-101.7064|Amarillo|Rick Husband Amarillo International Airport
AMD|VAAH|23.0772|72.6347|Ahmedabad|Sardar Vallabh Patel International Airport
AMH|HAAM|6.0394|37.5905|Arba Minch|Arba Minch Airport
AMM|OJAI|31.7226|35.9932|Amman|Queen Alia International Airport
AMQ|WAPP|-3.7103|128.089|Ambon|Pattimura International Airport
AMS|EHAM|52.3086|4.7639|Amsterdam|Amsterdam Airport Schiphol
AMV|ULDD|69.7633|61.5564|Amderma|Amderma Airport
ANC|PANC|61.179|-149.9926|Anchorage|Ted Stevens Anchorage International Airport
ANF|SCFA|-23.4453|-70.4452|Antofagasta|Andres Sabella Galvez International Airport
ANI|PANI|61.5816|-159.543|Aniak|Aniak Airport
ANR|EBAW|51.1907|4.4632|Antwerp|Antwerp International Airport (Deurne)
ANU|TAPA|17.1367|-61.7927|Osbourn|V. C. Bird International Airport
ANV|PANV|62.6467|-160.191|Anvik|Anvik Airport
ANX|ENAN|69.2952|16.1394|Andenes|Andya Airport, Andenes
AOE|LTBY|39.8116|30.5193|Eskisehir|Hasan Polatkan Airport
AOG|ZYAS|41.1053|122.854|Anshan|Anshan Teng'ao Airport / Anshan Air Base
AOI|LIPY|43.6163|13.3623|Falconara Marittima (AN)|Marche Airport
AOJ|RJSA|40.7338|140.6895|Aomori|Aomori Airport
AOK|LGKP|35.4214|27.146|Karpathos Island|Karpathos Airport
AOO|KAOO|40.2964|-78.32|Altoona|Altoona Blair County Airport
AOR|WMKA|6.1897|100.398|Alor Satar|Sultan Abdul Halim Airport
APL|FQNP|-15.1056|39.2818|Nampula|Nampula Airport
